,Topic Id,Biased_Size_3_KeyPhrases,Biased_Size_3_Phrase_Scores
0,3,"['saudi visit pompeo', 'iranian airspace president', 'arabia pompeo said', 'iranian airspace remarks', 'talks king salman', 'saudi security concerns', 'talks saudi king', 'arabia reported attack', 'military confrontation iran', 'iranian airspace near']","[('saudi visit pompeo', 0.5936), ('iranian airspace president', 0.5731), ('arabia pompeo said', 0.5635), ('iranian airspace remarks', 0.5615), ('talks king salman', 0.5556), ('saudi security concerns', 0.5472), ('talks saudi king', 0.5454), ('arabia reported attack', 0.5403), ('military confrontation iran', 0.5328), ('iranian airspace near', 0.5301)]"
1,1,"['sanders campaign nevada', 'vegas crumbling hillary', 'nevada outcome clinton', 'nevada campaign continue', 'hillary clinton nevada', 'nevada showed trump', 'sanders lost nevada', 'campaign presents nevada', 'nevada campaign announced', 'stay vegas nevada']","[('sanders campaign nevada', 0.6965), ('vegas crumbling hillary', 0.6829), ('nevada outcome clinton', 0.6732), ('nevada campaign continue', 0.6567), ('hillary clinton nevada', 0.6466), ('nevada showed trump', 0.6338), ('sanders lost nevada', 0.6322), ('campaign presents nevada', 0.6282), ('nevada campaign announced', 0.6243), ('stay vegas nevada', 0.6134)]"
2,8,"['reporting coronavirus crisis', 'behind coronavirus headlines', 'coronavirus crisis trying', 'realizes coronavirus bad', 'coronavirus headlines struck', 'response coronavirus crisis', 'blatantly blaming coronavirus', 'overreaction coronavirus pandemic', 'coronavirus pandemic still', 'new coronavirus helped']","[('reporting coronavirus crisis', 0.7268), ('behind coronavirus headlines', 0.715), ('coronavirus crisis trying', 0.7098), ('realizes coronavirus bad', 0.7057), ('coronavirus headlines struck', 0.6988), ('response coronavirus crisis', 0.6956), ('blatantly blaming coronavirus', 0.6946), ('overreaction coronavirus pandemic', 0.6886), ('coronavirus pandemic still', 0.6876), ('new coronavirus helped', 0.6853)]"
3,-1,"['illegal voters virginia', 'county 000 juror', '000 noncitizen jury', 'voter fraud virginia', 'election unfounded virginia', 'noncitizens jury pools', 'county jury pools', 'noncitizen jury pool', 'noncitizens jury pool', 'jury pool data']","[('illegal voters virginia', 0.6263), ('county 000 juror', 0.5841), ('000 noncitizen jury', 0.5825), ('voter fraud virginia', 0.5789), ('election unfounded virginia', 0.5741), ('noncitizens jury pools', 0.5729), ('county jury pools', 0.5644), ('noncitizen jury pool', 0.5628), ('noncitizens jury pool', 0.5622), ('jury pool data', 0.5605)]"
4,12,"['climate change republicans', 'fraud said democrats', 'environmentalists lambasted republicans', 'global warming democrats', 'climate denial scheme', 'democrats argued fraud', 'described climate denial', 'environmental lobby politicians', 'climate denial operation', 'industry climate denial']","[('climate change republicans', 0.5534), ('fraud said democrats', 0.5488), ('environmentalists lambasted republicans', 0.5267), ('global warming democrats', 0.5234), ('climate denial scheme', 0.5024), ('democrats argued fraud', 0.4956), ('described climate denial', 0.4906), ('environmental lobby politicians', 0.4891), ('climate denial operation', 0.4859), ('industry climate denial', 0.4849)]"
5,13,"['christmas bill bipartisan', 'merry christmas bill', 'holiday celebrations texas', 'law protecting christmas', 'protecting christmas holiday', 'saying merry christmas', 'celebrations texas public', 'perry signed bill', 'merry christmas schools', 'december mention christmas']","[('christmas bill bipartisan', 0.5672), ('merry christmas bill', 0.5492), ('holiday celebrations texas', 0.5456), ('law protecting christmas', 0.517), ('protecting christmas holiday', 0.5087), ('saying merry christmas', 0.5073), ('celebrations texas public', 0.4846), ('perry signed bill', 0.4845), ('merry christmas schools', 0.4639), ('december mention christmas', 0.4496)]"
6,11,"['clinton anti gun', 'buy gun trump', 'obama gun task', 'president obama gun', 'government clinton need', 'opposes gun control', 'allowing guns federal', 'bring gun legislation', 'democrats pro gun', 'obama pushed gun']","[('clinton anti gun', 0.6609), ('buy gun trump', 0.5528), ('obama gun task', 0.5519), ('president obama gun', 0.5489), ('government clinton need', 0.5371), ('opposes gun control', 0.5361), ('allowing guns federal', 0.5352), ('bring gun legislation', 0.5309), ('democrats pro gun', 0.5302), ('obama pushed gun', 0.5289)]"
7,0,"['donald sterling racist', 'blacks donald sterling', 'sterling racist says', 'racist like sterling', 'nba racism controversy', 'blacks sterling trashed', 'removal donald sterling', 'sterling anything nba', 'donald sterling anything', 'clippers owner racist']","[('donald sterling racist', 0.6652), ('blacks donald sterling', 0.6575), ('sterling racist says', 0.6314), ('racist like sterling', 0.6223), ('nba racism controversy', 0.5913), ('blacks sterling trashed', 0.5779), ('removal donald sterling', 0.5614), ('sterling anything nba', 0.5568), ('donald sterling anything', 0.5493), ('clippers owner racist', 0.5449)]"
8,10,"['julian assange wikileaks', 'assange wikileaks enemies', 'assange wikileaks gone', 'assange arrested british', 'condemn assange wikileaks', 'julian assange arrested', 'officials julian assange', 'wikileaks founder julian', 'protection julian assange', 'assange publishing leaked']","[('julian assange wikileaks', 0.7377), ('assange wikileaks enemies', 0.687), ('assange wikileaks gone', 0.6796), ('assange arrested british', 0.6568), ('condemn assange wikileaks', 0.6539), ('julian assange arrested', 0.6129), ('officials julian assange', 0.6036), ('wikileaks founder julian', 0.5978), ('protection julian assange', 0.5949), ('assange publishing leaked', 0.5869)]"
9,2,"['bipartisan budget deal', 'bipartisan budget agreement', 'highlights bipartisan budget', 'savaging bipartisan budget', 'budget negotiations congressional', 'congress pass budget', 'recent congressional budget', 'congress reach budget', 'compromise budget deal', 'passing compromise budget']","[('bipartisan budget deal', 0.7611), ('bipartisan budget agreement', 0.7338), ('highlights bipartisan budget', 0.7), ('savaging bipartisan budget', 0.6724), ('budget negotiations congressional', 0.6638), ('congress pass budget', 0.6527), ('recent congressional budget', 0.6346), ('congress reach budget', 0.6345), ('compromise budget deal', 0.6341), ('passing compromise budget', 0.6308)]"
10,17,"['secretive campaign spending', 'liberal donors funneled', 'donors political operatives', 'koch brothers secretive', 'spending groups claiming', 'campaigns super pacs', 'funding ads argued', 'donations gop whose', 'donations democratic coffers', 'election operatives donors']","[('secretive campaign spending', 0.5935), ('liberal donors funneled', 0.5768), ('donors political operatives', 0.5549), ('koch brothers secretive', 0.5537), ('spending groups claiming', 0.5441), ('campaigns super pacs', 0.5273), ('funding ads argued', 0.5183), ('donations gop whose', 0.5128), ('donations democratic coffers', 0.5115), ('election operatives donors', 0.5097)]"
11,16,"['call vietnam summit', 'summit north korea', 'vietnam summit success', 'korea nuclear ambitions', 'summit north korean', 'north korea negotiating', 'approaching north korea', 'discussions north korea', 'strategy dealing pyongyang', 'insight north korea']","[('call vietnam summit', 0.5748), ('summit north korea', 0.5665), ('vietnam summit success', 0.5574), ('korea nuclear ambitions', 0.5566), ('summit north korean', 0.5471), ('north korea negotiating', 0.5462), ('approaching north korea', 0.533), ('discussions north korea', 0.5309), ('strategy dealing pyongyang', 0.5253), ('insight north korea', 0.5221)]"
12,6,"['officers seen gang', 'border patrol officials', 'contempt law enforcement', 'immigration enforcement testified', 'hearing immigration enforcement', 'gang illegal immigration', 'border patrol calls', 'support border patrol', 'gang anti immigrant', 'border patrol officers']","[('officers seen gang', 0.5159), ('border patrol officials', 0.5097), ('contempt law enforcement', 0.5016), ('immigration enforcement testified', 0.5001), ('hearing immigration enforcement', 0.4953), ('gang illegal immigration', 0.4921), ('border patrol calls', 0.4921), ('support border patrol', 0.4903), ('gang anti immigrant', 0.4898), ('border patrol officers', 0.4891)]"
13,14,"['black female republican', 'race republicans need', 'race state senate', 'women presidential race', 'utah republican mia', 'race former republican', 'race take senate', 'wednesday utah republican', 'election complicating race', 'republican candidates got']","[('black female republican', 0.5708), ('race republicans need', 0.5635), ('race state senate', 0.5545), ('women presidential race', 0.5481), ('utah republican mia', 0.548), ('race former republican', 0.5427), ('race take senate', 0.5414), ('wednesday utah republican', 0.5328), ('election complicating race', 0.5305), ('republican candidates got', 0.5281)]"
14,7,"['demeanor obama great', 'sense obama increasingly', 'bristled idea obama', 'obama became novelist', 'observational demeanor obama', 'identify obama outsider', 'guy obama looseness', 'getting obama comfortable', 'approaches politics obama', 'obama purposefully leaned']","[('demeanor obama great', 0.5663), ('sense obama increasingly', 0.5469), ('bristled idea obama', 0.5462), ('obama became novelist', 0.5399), ('observational demeanor obama', 0.5377), ('identify obama outsider', 0.5224), ('guy obama looseness', 0.5144), ('getting obama comfortable', 0.5115), ('approaches politics obama', 0.5063), ('obama purposefully leaned', 0.5047)]"
15,4,"['dealing mueller giuliani', 'giuliani handle investigation', 'mueller exonerate trump', 'trump russia investigations', 'politicized investigations trump', 'trump obstruct justice', 'russia investigation trump', 'trump thing giuliani', 'mueller spooking lawyers', 'trump russia investigation']","[('dealing mueller giuliani', 0.6179), ('giuliani handle investigation', 0.5412), ('mueller exonerate trump', 0.5391), ('trump russia investigations', 0.5378), ('politicized investigations trump', 0.5344), ('trump obstruct justice', 0.5342), ('russia investigation trump', 0.5307), ('trump thing giuliani', 0.5306), ('mueller spooking lawyers', 0.5273), ('trump russia investigation', 0.5269)]"
16,9,"['approval judicial nominees', 'republicans judicial nominations', 'senate republicans judicial', 'democratic senate judiciary', 'judicial nominees republican', 'obama approval judicial', 'reform judicial nominations', 'judicial nominations yet', 'judicial executive nominees', 'reid changed senate']","[('approval judicial nominees', 0.6559), ('republicans judicial nominations', 0.6446), ('senate republicans judicial', 0.6273), ('democratic senate judiciary', 0.6249), ('judicial nominees republican', 0.6216), ('obama approval judicial', 0.6039), ('reform judicial nominations', 0.598), ('judicial nominations yet', 0.5964), ('judicial executive nominees', 0.5956), ('reid changed senate', 0.5941)]"
17,5,"['current law obamacare', 'accelerating repeal obamacare', 'obamacare finally seems', 'delay implementation obamacare', 'seeing obamacare implementing', 'delay obamacare controversial', 'healthcare new obamacare', 'obamacare wednesday story', 'repealing replacing obamacare', 'significant shift obamacare']","[('current law obamacare', 0.68), ('accelerating repeal obamacare', 0.6772), ('obamacare finally seems', 0.6717), ('delay implementation obamacare', 0.6683), ('seeing obamacare implementing', 0.6673), ('delay obamacare controversial', 0.659), ('healthcare new obamacare', 0.6518), ('obamacare wednesday story', 0.649), ('repealing replacing obamacare', 0.6483), ('significant shift obamacare', 0.648)]"
18,15,"['romney debate revisited', 'debate romney agree', 'opening debate romney', 'discuss views romney', 'debate romney forthright', 'questions romney understanding', 'leveled romney debate', 'romney paramount debate', 'mitt romney argues', 'campaign dispute romney']","[('romney debate revisited', 0.725), ('debate romney agree', 0.6466), ('opening debate romney', 0.6257), ('discuss views romney', 0.623), ('debate romney forthright', 0.6176), ('questions romney understanding', 0.614), ('leveled romney debate', 0.6133), ('romney paramount debate', 0.6129), ('mitt romney argues', 0.6053), ('campaign dispute romney', 0.6031)]"
